19:45, Thursday, January 17, 2019
Study name:Static 1 Filled Tension
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
29834  ,487.676  ,0  ,-487.676  ,2.87430e-004
31264  ,492.422  ,-2.5  ,418.908  ,2.87385e-004
30926  ,500  ,2.5  ,-304.366  ,2.87374e-004
31237  ,500  ,-2.5  ,304.367  ,2.87369e-004
30772  ,492.422  ,0  ,418.908  ,2.87368e-004
31018  ,492.422  ,0  ,-418.908  ,2.87366e-004
30945  ,492.422  ,2.5  ,-418.908  ,2.87365e-004
13026  ,487.995  ,-2.5  ,-480.471  ,2.87364e-004
31228  ,500  ,5.58794e-008  ,304.366  ,2.87363e-004
31047  ,500  ,5.58794e-008  ,-304.366  ,2.87362e-004
30796  ,500  ,2.5  ,304.366  ,2.87358e-004
29952  ,487.995  ,2.5  ,480.468  ,2.87355e-004
31054  ,500  ,-2.5  ,-304.367  ,2.87350e-004
30738  ,486.797  ,-2.5  ,-495.254  ,2.87340e-004
31490  ,486.797  ,2.5  ,495.254  ,2.87332e-004
13025  ,487.995  ,-2.5  ,-475.003  ,2.87248e-004
12964  ,488.359  ,-2.5  ,468.904  ,2.87244e-004
29951  ,487.995  ,2.5  ,475  ,2.87238e-004
12974  ,486.901  ,-2.5  ,488.359  ,2.87236e-004
29810  ,488.359  ,2.5  ,-468.904  ,2.87229e-004
29932  ,488.359  ,0  ,468.904  ,2.87228e-004
29809  ,488.359  ,0  ,-468.904  ,2.87227e-004
13024  ,488.359  ,-2.5  ,-468.904  ,2.87225e-004
29837  ,486.901  ,2.5  ,-488.359  ,2.87225e-004
29938  ,487.51  ,0  ,479.813  ,2.87215e-004
29887  ,487.516  ,0  ,-479.81  ,2.87215e-004
29948  ,488.359  ,2.5  ,468.904  ,2.87213e-004
296  ,500  ,2.5  ,-294.548  ,2.87201e-004
239  ,500  ,-2.5  ,294.548  ,2.87196e-004
31229  ,500  ,5.58794e-008  ,294.548  ,2.87190e-004
29949  ,487.312  ,0  ,481.243  ,2.87189e-004
31053  ,500  ,5.58794e-008  ,-294.548  ,2.87189e-004
29833  ,487.311  ,0  ,-481.246  ,2.87187e-004
31263  ,492.422  ,-2.5  ,408.908  ,2.87184e-004
326  ,500  ,2.5  ,294.548  ,2.87184e-004
269  ,500  ,-2.5  ,-294.548  ,2.87176e-004
30771  ,492.422  ,0  ,408.908  ,2.87167e-004
31017  ,492.422  ,0  ,-408.908  ,2.87166e-004
30944  ,492.422  ,2.5  ,-408.908  ,2.87165e-004
31510  ,486.022  ,-2.5  ,495.938  ,2.87148e-004
30210  ,486.022  ,2.5  ,-495.938  ,2.87137e-004
31488  ,486.022  ,0  ,495.938  ,2.87137e-004
30739  ,486.022  ,0  ,-495.938  ,2.87135e-004
