19:54, Thursday, January 17, 2019
Study name:Static 2 Filled Compression
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
152  ,-1.96897e+004  ,-4.49266e-001  ,-1.14295e+001  ,-2.63734e+000  ,2.57727e+001  ,1.12271e+000
153  ,-1.97248e+004  ,4.60579e+000  ,7.95580e+000  ,-8.35407e+000  ,-1.88081e+001  ,6.36534e-001
154  ,-1.96900e+004  ,6.48185e-001  ,1.07717e+001  ,-1.40281e+000  ,-2.34452e+001  ,4.34913e+000
155  ,-1.97267e+004  ,-1.95240e+000  ,-3.23125e+000  ,-5.05969e+000  ,-1.13197e+001  ,2.41382e-001
156  ,-1.97639e+004  ,1.63949e+000  ,-5.50444e+000  ,2.52904e+000  ,-7.97136e-001  ,-6.15355e-001
157  ,-1.98156e+004  ,-5.35929e-001  ,-3.62335e+000  ,3.04400e+000  ,6.65070e+000  ,-5.53384e-001
158  ,-1.98606e+004  ,4.76955e-001  ,7.98897e-001  ,-9.78117e-001  ,6.30599e+000  ,-1.89962e+000
159  ,-1.98960e+004  ,-1.37536e-001  ,2.86573e+000  ,9.80372e-001  ,5.63031e+000  ,-1.31869e+000
160  ,-1.99492e+004  ,7.99461e-001  ,-4.10809e+000  ,8.48906e-001  ,1.06326e+001  ,4.02564e-001
161  ,-1.99552e+004  ,1.46304e-001  ,2.86146e+000  ,-1.18461e+000  ,-3.30187e+000  ,-8.70838e-001
162  ,-1.99574e+004  ,-3.53613e-001  ,2.44442e+000  ,-1.37306e-002  ,-2.67363e-001  ,-1.58262e-003
163  ,-1.99908e+004  ,9.97322e-001  ,-4.58170e+000  ,2.87981e+000  ,3.83451e+000  ,7.19474e-001
164  ,-2.00378e+004  ,-1.06231e+000  ,-1.36395e+001  ,1.65769e+000  ,5.25534e+000  ,-3.86105e+000
165  ,-2.00497e+004  ,1.65728e+000  ,-1.05934e+001  ,3.10087e+000  ,1.76570e+001  ,-1.33683e+000
166  ,-2.00560e+004  ,-2.03884e+000  ,-8.93745e+000  ,2.60297e+000  ,1.66188e+001  ,5.45743e-001
