19:59, Thursday, January 17, 2019
Study name:Static 3 Filled Torsion
Units: N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
127  ,-1.62721e+007  ,1.87648e+004  ,-2.18059e+005  ,4.66049e+005  ,9.73948e+005  ,-1.14668e+003
128  ,-1.58284e+007  ,1.04062e+004  ,-1.98930e+005  ,4.55469e+005  ,7.96427e+005  ,-2.85832e+003
129  ,-1.53498e+007  ,-1.01970e+003  ,-1.62768e+005  ,4.33411e+005  ,6.54202e+005  ,-1.14748e+004
130  ,-1.48307e+007  ,1.76800e+004  ,-1.27877e+005  ,4.52950e+005  ,5.19173e+005  ,9.25469e+003
131  ,-1.43502e+007  ,2.58201e+002  ,-1.17857e+005  ,4.46229e+005  ,4.13078e+005  ,1.48550e+004
132  ,-1.39212e+007  ,4.70863e+003  ,-1.10685e+005  ,4.46002e+005  ,3.06255e+005  ,1.75340e+004
133  ,-1.34918e+007  ,3.67410e+003  ,-1.04885e+005  ,4.44082e+005  ,2.13962e+005  ,1.79758e+004
134  ,-1.30647e+007  ,3.49136e+003  ,-9.54186e+004  ,4.42194e+005  ,1.25714e+005  ,1.83398e+004
135  ,-1.26422e+007  ,1.08384e+004  ,-9.18223e+004  ,4.43694e+005  ,4.43474e+004  ,2.49657e+004
136  ,-1.22460e+007  ,4.24498e+004  ,-1.09985e+005  ,4.40631e+005  ,-4.94806e+004  ,1.67154e+004
137  ,-1.18560e+007  ,2.84598e+003  ,-1.03908e+005  ,4.35207e+005  ,-1.24830e+005  ,2.67707e+004
138  ,-1.15762e+007  ,8.75616e+003  ,-1.03380e+005  ,3.45824e+005  ,-1.86700e+005  ,-4.50156e+003
139  ,-1.11818e+007  ,8.56264e+002  ,-3.98678e+004  ,4.19403e+005  ,-2.46857e+005  ,6.03813e+003
140  ,-1.08047e+007  ,-2.73949e+004  ,-1.11286e+004  ,4.35037e+005  ,-3.15155e+005  ,1.02682e+004
141  ,-1.03902e+007  ,-2.49462e+004  ,4.10049e+003  ,3.84644e+005  ,-3.69442e+005  ,3.01760e+004
142  ,-1.00256e+007  ,-1.90220e+004  ,3.50945e+003  ,3.62832e+005  ,-4.06776e+005  ,3.14108e+004
143  ,-9.63476e+006  ,-9.87542e+003  ,7.91818e+003  ,3.98428e+005  ,-4.55839e+005  ,1.80151e+004
144  ,-9.21847e+006  ,1.71069e+003  ,-9.92309e+003  ,3.35293e+005  ,-4.90148e+005  ,4.35353e+004
145  ,-8.91294e+006  ,1.77193e+004  ,-1.86498e+004  ,3.59458e+005  ,-5.30516e+005  ,3.38539e+004
146  ,-8.57009e+006  ,3.96803e+002  ,-2.57541e+004  ,3.47400e+005  ,-5.82250e+005  ,3.60931e+004
